Smiles,nM-value,vVirus name
COc1ccc(-n2cnc3cc(NCc4ccco4)ccc32)cc1,1200,Hantaan virus
NCC(=O)Nc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc3c(ccc4ccccc43)c2)cc1,500,Hantaan virus
COc1ccc(-n2cnc3cc(NCc4ccc(C(C)C)cc4)ccc32)cc1,1.4,Hantaan virus
CCOc1ccc(-n2c(N)nc3cc(NCc4ccc(CC)cc4)ccc32)cc1,29,Hantaan virus
CCOc1ccc(-n2c(O)nc3cc(NCc4ccc(CC)cc4)ccc32)cc1,1800,Hantaan virus
CCOc1ccc(-n2cnc3cc(NCc4ccc(CC)cc4)cc(C(=O)OC)c32)cc1,220,Hantaan virus
CCOc1ccc(-n2cnc3cc(NCc4ccc(CC)cc4)cc(N)c32)cc1,620,Hantaan virus
CCOc1ccc(-n2cnc3cc(NCCc4ccc(CC)cc4)cnc32)cc1,65,Hantaan virus
CCOc1ccc(-n2cnc3cc(NCCCc4ccc(CC)cc4)cnc32)cc1,210,Hantaan virus
CCOc1ccc(-n2cnc3cc(/N=C/c4ccc(CC)cc4)cnc32)cc1,4300,Hantaan virus
CCOc1ccc(Cn2cnc3cc(NCc4ccc(CC)cc4)cnc32)cc1,1600,Hantaan virus
CCc1ccc(CNc2cnc3c(c2)ncn3-c2ccc(O)cc2)cc1,19,Hantaan virus
CCc1ccc(CNc2cnc3c(c2)ncn3-c2ccc(OCCCO)cc2)cc1,13,Hantaan virus
CCc1ccc(CNc2cnc3c(c2)ncn3-c2ccc(OCCN(C)C)cc2)cc1,80,Hantaan virus
CCc1ccc(CNc2cnc3c(c2)ncn3-c2ccc(NC(C)=O)cc2)cc1,11,Hantaan virus
CCOc1ccc(-n2cnc3cc(NCc4ccc(CC)cc4)cnc32)cc1N(C)C,250,Hantaan virus
CCOc1ccc(-n2cnc3cc(NCc4ccc(CC)cc4)cnc32)c(CN)c1,1500,Hantaan virus
CCOc1ccc(-n2cnc3cc(NCc4ccc(CC)cc4)cnc32)cc1CN,58,Hantaan virus
CCOc1ccc(-n2cnc3cc(NCc4ccc(CC)c(N(C)C)c4)cnc32)cc1,5.9,Hantaan virus
CCOc1ccc(-n2cnc3cc(NCc4ccc(CC)c(CN)c4)cnc32)cc1,26,Hantaan virus
CCOc1ccc(-n2cnc3cc(NCc4ccc(CC)cc4)ccc32)cc1,1.5,Hantaan virus
CCOc1ccc(-n2c(C)nc3cc(NCc4ccc(CC)cc4)ccc32)cc1,1.9,Hantaan virus
CCCc1nc2cc(NCc3ccc(CC)cc3)ccc2n1-c1ccc(OCC)cc1,170,Hantaan virus
CCOc1ccc(-n2c(C#N)nc3cc(NCc4ccc(CC)cc4)ccc32)cc1,1.6,Hantaan virus
CCOc1ccc(-n2c(C(=O)O)nc3cc(NCc4ccc(CC)cc4)ccc32)cc1,1.5,Hantaan virus
CCOc1ccc(-n2c(C(N)=O)nc3cc(NCc4ccc(CC)cc4)ccc32)cc1,9.2,Hantaan virus
CCOc1ccc(-n2ccc3cc(NCc4ccc(CC)cc4)ccc32)cc1,69,Hantaan virus
CCOc1ccc(-c2c[nH]c3cc(NCc4ccc(CC)cc4)ccc23)cc1,13,Hantaan virus
COc1ccc(-n2ncc3cc(NCc4ccc(C(C)C)cc4)ccc32)cc1,130,Hantaan virus
CCOc1ccc(-n2nnc3cc(NCc4ccc(CC)cc4)ccc32)cc1,6.1,Hantaan virus
CCOc1ccc(-c2cnc3cc(NCc4ccc(CC)cc4)ccn23)cc1,9.3,Hantaan virus
CCOc1ccc(-n2ccc3cc(NCc4ccc(CC)cc4)cnc32)cc1,25,Hantaan virus
CCOc1ccc(-n2cnc3nc(NCc4ccc(CC)cc4)ccc32)cc1,6.8,Hantaan virus
CCOc1ccc(-n2cnc3cc(NCc4ccc(CC)cc4)cnc32)cc1,0.16,Hantaan virus
CCOc1ccc(-n2nnc3cc(NCc4ccc(CC)cc4)cnc32)cc1,0.87,Hantaan virus
CCOc1ccc(-n2c(C(N)=O)nc3cc(NCc4ccc(CC)cc4)cnc32)cc1,4.4,Hantaan virus
CCOc1ccc(-n2c(C(=O)O)nc3cc(NCc4ccc(CC)cc4)cnc32)cc1,0.16,Hantaan virus
CCOc1ccc(-n2cnc3cc(NCc4ccc(CC)cc4)cnc32)cn1,9,Hantaan virus
CCOc1ccc(-n2cnc3cc(NCc4ccc(CC)cc4)cnc32)nc1,0.98,Hantaan virus
CC(C)c1ccc(CNc2ccc3c(c2)ncn3-c2ccccc2)cc1,5.2,Hantaan virus
CCc1ccc(-n2cnc3cc(NCc4ccc(C(C)C)cc4)ccc32)cc1,1.9,Hantaan virus
CCCCc1ccc(-n2cnc3cc(NCc4ccc(C(C)C)cc4)ccc32)cc1,4.4,Hantaan virus
CC(C)c1ccc(CNc2ccc3c(c2)ncn3-c2ccc(C(C)(C)C)cc2)cc1,4,Hantaan virus
CCCCOc1ccc(-n2cnc3cc(NCc4ccc(C(C)C)cc4)ccc32)cc1,5.6,Hantaan virus
CC(C)c1ccc(CNc2ccc3c(c2)ncn3-c2ccc(OC(C)(C)C)cc2)cc1,8.6,Hantaan virus
CC(C)c1ccc(CNc2ccc3c(c2)ncn3-c2ccc(Cc3ccccc3)cc2)cc1,120,Hantaan virus
CC(C)c1ccc(CNc2ccc3c(c2)ncn3-c2ccc(Oc3ccccc3)cc2)cc1,130,Hantaan virus
CC(C)c1ccc(CNc2ccc3c(c2)ncn3-c2ccc(OCCc3ccccc3)cc2)cc1,43,Hantaan virus
CC(C)c1ccc(CNc2ccc3c(c2)ncn3-c2ccc(Oc3ccc4ccccc4c3)cc2)cc1,540,Hantaan virus
CCc1ccc(CNc2ccc3c(c2)ncn3-c2ccc(OC)nc2)cc1,32,Hantaan virus
CCc1ccc(CNc2ccc3c(c2)ncn3-c2ccc(OC)cn2)cc1,5.8,Hantaan virus
CCc1ccc(CNc2ccc3c(c2)ncn3-c2ccc(OC)nn2)cc1,81,Hantaan virus
CCc1ccc(CNc2ccc3c(c2)ncn3-c2cnc(OC)nc2)cc1,450,Hantaan virus
Cc1ccc(CNc2ccc3c(c2)ncn3C2CCCCC2)cc1,320,Hantaan virus
CCc1ccc(CNc2ccc3c(c2)ncn3-c2ccc(OC)cc2)cc1,1.2,Hantaan virus
CCCCc1ccc(CNc2ccc3c(c2)ncn3-c2ccc(OC)cc2)cc1,1.5,Hantaan virus
COc1ccc(-n2cnc3cc(NCc4ccc(C(C)(C)C)cc4)ccc32)cc1,1.1,Hantaan virus
CCOc1ccc(CNc2ccc3c(c2)ncn3-c2ccc(OC)cc2)cc1,4,Hantaan virus
CCCCOc1ccc(CNc2ccc3c(c2)ncn3-c2ccc(OC)cc2)cc1,6,Hantaan virus
COc1ccc(-n2cnc3cc(NCc4ccc(OC(C)(C)C)cc4)ccc32)cc1,5.2,Hantaan virus
COc1ccc(-n2cnc3cc(NCc4ccc(Cl)cc4)ccc32)cc1,47,Hantaan virus
COc1ccc(-n2cnc3cc(NCc4ccc(Cc5ccccc5)cc4)ccc32)cc1,46,Hantaan virus
COc1ccc(-n2cnc3cc(NCc4ccc(Oc5ccccc5)cc4)ccc32)cc1,380,Hantaan virus
COc1ccc(-n2cnc3cc(NCc4cccc5ccccc45)ccc32)cc1,69,Hantaan virus
COc1ccc(-n2cnc3cc(NCc4ccc(OCCN(C)C)cc4)ccc32)cc1,3300,Hantaan virus
COc1ccc(-n2cnc3cc(NCc4ccc(CN(C)C)cc4)ccc32)cc1,270,Hantaan virus
COc1ccc(-n2cnc3cc(NCc4ccc(CN5CCCCC5)cc4)ccc32)cc1,1400,Hantaan virus
COc1ccc(-n2cnc3cc(NCc4ccc(CN5CCOCC5)cc4)ccc32)cc1,790,Hantaan virus
COc1ccc(-n2cnc3cc(NCc4ccc(CN5CCN(C)CC5)cc4)ccc32)cc1,16000,Hantaan virus
CCOc1ccc(-n2cnc3cc(NCc4ccc(CC(=O)O)cc4)ccc32)cc1,1300,Hantaan virus
COc1ccc(-n2cnc3cc(NCc4ccc(OC)c(OC)c4)ccc32)cc1,700,Hantaan virus
COc1ccc(-n2cnc3cc(NCc4cccc(OC)c4)ccc32)cc1,35,Hantaan virus
COc1ccc(-n2cnc3cc(NCc4cccc(OC)c4OC)ccc32)cc1,160,Hantaan virus
COc1ccc(-n2cnc3cc(NCc4ccccc4OC)ccc32)cc1,460,Hantaan virus
COc1ccc(-n2cnc3cc(NCc4ccccc4O)ccc32)cc1,310,Hantaan virus
CCOc1ccc(-n2cnc3cc(NCc4ccc(C)nc4)ccc32)cc1,240,Hantaan virus
CCOc1ccc(-n2cnc3cc(NCc4ccc(C)cn4)ccc32)cc1,350,Hantaan virus
CCOc1ccc(-n2cnc3cc(NCc4cnc(CC)nc4)ccc32)cc1,450,Hantaan virus
CCOc1ccc(-n2cnc3cc(CNc4ccc(CC)cc4)ccc32)cc1,11,Hantaan virus
COc1ccc(-n2cnc3cc(N(C)Cc4ccc(C(C)C)cc4)ccc32)cc1,57,Hantaan virus
COc1ccc(-n2cnc3cc(N(Cc4ccc(C(C)C)cc4)S(=O)(=O)c4ccc(C)cc4)ccc32)cc1,110,Hantaan virus
COc1ccc(-n2cnc3cc(N(Cc4ccc(C(C)C)cc4)C(C)=O)ccc32)cc1,380,Hantaan virus
CC(C)c1ccc(CNc2ccc3ncn(-c4ccc(OC(C)(C)C)cc4)c3c2)cc1,180,Hantaan virus
COc1ccc(CNc2ccc3c(c2)ncn3-c2ccc(OC)cc2)cc1,11,Hantaan virus
C/C(=N\NC(=O)[C@@H]1C[C@H]1c1ccccc1)c1ccc(N)cc1,19000,Hantaan virus
O=C(N/N=C/c1ccccc1)[C@@H]1C[C@H]1c1ccccc1,25,Hantaan virus
C/C(=N\NC(=O)[C@H]1C[C@H]1c1ccccc1)c1ccc(NC(=O)c2ccco2)cc1,0.9,Hantaan virus
C/C(=N\NC(=O)[C@@H]1C[C@H]1c1ccccc1)c1ccc(N(C)C)cc1,390,Hantaan virus
CC(C)/C(=N\NC(=O)[C@H]1C[C@H]1c1ccccc1)c1ccccc1,850,Hantaan virus
C/C(=N\NC(=O)[C@@H]1C[C@H]1c1ccccc1)c1ccc(NC(=O)c2ccco2)cc1,0.34,Hantaan virus
C/C(=N\NC(=O)[C@@H]1C[C@H]1c1ccccc1)c1ccccc1,47,Hantaan virus
C/C(=N\NC(=O)[C@@H]1C[C@H]1c1ccccc1)c1ccccc1Cl,320,Hantaan virus
C/C(=N\NC(=O)[C@@H]1C[C@H]1c1ccccc1)c1ccc(Cl)cc1,20,Hantaan virus
C/C(=N\NC(=O)[C@@H]1C[C@H]1c1ccccc1)c1cccc(Br)c1,56,Hantaan virus
C/C(=N\NC(=O)[C@@H]1C[C@H]1c1ccccc1)c1ccc(Br)cc1,470,Hantaan virus
C/C(=N\NC(=O)[C@@H]1C[C@H]1c1ccccc1)c1cccc([N+](=O)[O-])c1,250,Hantaan virus
C/C(=N\NC(=O)[C@@H]1C[C@H]1c1ccccc1)c1ccc([N+](=O)[O-])cc1,62,Hantaan virus
C/C(=N\NC(=O)[C@@H]1C[C@H]1c1ccccc1)c1ccccc1O,570,Hantaan virus
C/C(=N\NC(=O)[C@@H]1C[C@H]1c1ccccc1)c1cccc(O)c1,94,Hantaan virus
C/C(=N\NC(=O)[C@@H]1C[C@H]1c1ccccc1)c1ccc(O)cc1,2.3,Hantaan virus
COc1cccc(/C(C)=N/NC(=O)[C@@H]2C[C@H]2c2ccccc2)c1,42,Hantaan virus
